"V1"	"V2"	"V3"	"V4"	"V5"
"Phyca11_560298"	1628.55635745664	656.939844888632	312.065489725981	50.2549222275288	8.22694936436313
"Phyca11_570139"	883.809662752295	195.514814126225	120.610693367662	34.3198907001747	31.8001516350423
"Phyca11_551410"	1723.00179366302	678.14511115247	337.038452297197	40.2388534609588	16.3519160210509
"Phyca11_503142"	128.74432393681	2984.89542676479	4118.39736608547	3804.42451066506	3337.55009491045
"Phyca11_538157"	400.646826667684	143.893321678804	69.3606205080444	15.3880132050846	0.0888975710777413
"Phyca11_13975"	13.7410842097638	403.930709508408	110.601456285015	13.0893939595867	1.15043276952484
"Phyca11_505974"	26.2178518037127	70.2145338609147	237.957719564837	754.525425520663	1331.17802011604
"Phyca11_504243"	3538.60695129335	1263.76505612512	638.878798948238	261.872054106998	93.1004042134697
"Phyca11_539227"	1177.58494656912	439.226185104279	225.676934596554	101.746787716056	56.6296804277806
"Phyca11_509900"	3013.54841351487	1126.67184713034	588.110296353144	188.031151233375	60.4338361988388
"Phyca11_506007"	3708.44115847658	1500.79963965771	1007.50056298283	471.584146224669	334.745978185029
"Phyca11_502779"	766.059617231092	356.557576362331	186.534336761614	49.163430277116	16.8331570532425
"Phyca11_512065"	3215.43235012381	1122.72327824075	644.078038701743	246.118354968193	87.6914100394837
"Phyca11_37071"	1419.4500108909	553.576336444429	301.757838462491	62.5543005774124	15.1042003077412
"Phyca11_507215"	3208.77950291818	1313.74445740668	772.557371832464	219.860071456526	151.22403362279
"Phyca11_561795"	560.7892309357	247.029357660902	129.908563645949	33.0097973931861	13.5979554621939
"Phyca11_71428"	14.6976893608767	384.867809678875	638.733620100866	1113.64118812365	1703.35379770225
"Phyca11_20425"	1880.47609152647	696.54483726367	305.556788845374	56.7264691613317	21.6542447641645
"Phyca11_96460"	693.828671939231	401.956784802948	183.928941872365	31.1678496104183	9.57537985204195
"Phyca11_536708"	1385.77501881537	632.848908009646	421.096154460964	83.3783219983286	30.2618570209134
"Phyca11_510859"	1696.48140463235	3761.70302087936	4917.67262362316	7678.04144092475	8607.53153909995
"Phyca11_552594"	563.025606298312	229.991109199525	94.38274454687	25.3717213116153	2.83236918060104
"Phyca11_559315"	282.933490790943	109.780192753251	54.6137217848997	9.97638204681934	2.42797073122387
"Phyca11_131420"	3.31570441723853	0	21.0527165418733	154.131905966171	1143.51175268861
"Phyca11_507432"	2147.18692096215	817.689818993148	516.216523863569	165.204067611315	109.665876591894
"Phyca11_124061"	313.410676781459	125.734540087193	92.0519287562717	18.4270905866974	4.60320316275499
"Phyca11_536727"	548.059184142433	151.923735586161	73.5528553237322	6.54469697979333	3.18607767999693
"Phyca11_512196"	934.364538131682	1523.98212568575	189.467336374918	30.6135052284374	3.47297296922866
"Phyca11_100188"	1638.53670298032	574.649968027827	351.758519603711	42.0228150442265	15.3221964505443
"Phyca11_510939"	1277.79982512149	491.751580609427	161.737370056552	62.0324626711648	21.3776769532064
"Phyca11_510473"	2485.60933357949	780.443055552737	450.312320695072	106.983151597823	22.5851153519567
"Phyca11_509178"	22.0465340413151	422.014148539828	1525.486824516	3214.11582670681	3837.49463275466
"Phyca11_525572"	611.875540184513	384.823526547022	78.690491928902	35.4628272755403	3.69432298160245
"Phyca11_526800"	1159.73956427874	571.002261738819	195.101760972722	66.4176413801321	13.4476095704359
"Phyca11_532798"	149.123112937889	331.947231190093	299.331183540066	1179.45305464619	8088.98899655541
"Phyca11_503724"	17.1136403190382	125.994673231146	393.389770593731	706.425860858451	1401.34915202838
"Phyca11_510000"	2400.19202421076	974.414058392004	587.165736110629	128.051081733739	36.1217128034135
"Phyca11_552194"	705.777537759289	230.054031624867	151.935116255344	70.2411496474072	5.7284958074189
"Phyca11_511079"	1322.39154621565	512.785347230124	311.005873069325	44.4776051355428	15.1561581910287
"Phyca11_36040"	1815.20976834627	599.228709812168	329.452624191857	105.955723424727	27.4964875614639
"Phyca11_508441"	14.3451570418544	35.1335062774438	256.184822815063	751.911592129546	1474.98477152746
"Phyca11_512020"	15.7921316409862	157.133051943454	84.4620719851762	14.1566357948357	1.68193641107621
"Phyca11_123797"	0	169.772262113999	350.600109923043	727.853590588905	902.990805127105
"Phyca11_575506"	963.478149997903	422.712216747518	193.610574230956	51.3075119433551	5.4869432190466
"Phyca11_510042"	3577.85281870701	1025.65490597121	933.659234971517	475.90900253382	348.518692635288
"Phyca11_83926"	564.935607853072	308.713547998897	71.1006351578064	23.7917089655007	2.7434716095233
"PcRxLR039"	0	2.57939487673627	114.841984744955	418.458693139676	527.819212270788
"Phyca11_15810"	0	12.4079633852494	15.6108776051691	121.350740582974	343.159282651647
"Phyca11_532621"	484.037374135527	182.174018497271	105.772225904692	25.5847568174418	3.33873269729149
"Phyca11_528202"	494.157849855153	209.512355920026	111.925081402717	41.6968158302564	25.3450347647741
"Phyca11_552045"	0	0	0	0	48.7166480232983
"Phyca11_507065"	719.675860860582	1844.84699860026	2653.80158984027	3413.38378991596	4043.94906759635
"PcRxLR146"	7.34884468043837	71.4826728485627	249.309034718818	696.268880443494	805.27961548015
"Phyca11_566240"	189.465543076287	84.2693802716186	53.0121073275434	0	1.56789871513754
"Phyca11_511473"	1927.75162582478	585.58165399414	300.850207574315	127.952624329324	49.8516354958312
"Phyca11_17480"	1203.6200812777	493.328013806707	232.403218507757	87.6452752455576	66.6774709583235
"Phyca11_504431"	1840.95496587047	4004.34828637779	608.049664686458	144.225140217754	6.46669828581683
"Phyca11_539488"	1199.19515546265	379.338912935265	209.157016861312	91.4633634777774	15.2513039245645
